results_dir,nav_csv,positions_csv,orders_csv,trades_csv,oos_metrics_available,start_date,end_date,observations,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,turnover_total,annualized_turnover,turnover_amount_total,turnover_amount_ratio,annualized_turnover_amount,turnover_quantity_total,annualized_turnover_quantity,trade_count,order_count,filled_order_count,rejected_order_count,order_status_counts,rejection_reason_counts,pending_intent_count,max_pending_intent_count,average_cash_weight,max_position_count,config_file,config_stem,original_run_name,variant,replacement_asset_ids,original_start,oos_start,configured_end,strategy_names,raw_output_dir
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437\trades.csv,False,2023-12-14,2026-06-10,600,0.5832937008153392,0.2128743824007644,0.08012777483204928,-0.04183401324508007,2.65668655902347,4787194.520260644,0.759419065760268,4787194.520260644,1.8081406327625427,0.759419065760268,1065000.0,223650.0,59,227,59,168,"{'REJECTED': 168, 'FILLED': 59}","{'insufficient_cash_or_lot': 167, 'limit_down': 1}",0,4,0.05609062452717294,4,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,baseline_r1_domestic_ewma,single_515080,['CN_ETF:515080.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_515080\baseline_r1_domestic_ewma_single_515080_oos_20260624_213021_659437
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398\trades.csv,False,2023-12-14,2026-06-10,600,0.5542625620184345,0.20348378209177653,0.0765881018605313,-0.04008075666355526,2.656858926499121,4633722.210729591,0.738199312677018,4633722.210729591,1.7576174111357572,0.738199312677018,1046900.0,219849.0,62,266,62,204,"{'REJECTED': 204, 'FILLED': 62}","{'insufficient_cash_or_lot': 203, 'limit_down': 1}",0,4,0.055340483782927996,4,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,baseline_r1_domestic_ewma,single_563020,['CN_ETF:563020.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\single_563020\baseline_r1_domestic_ewma_single_563020_oos_20260624_213022_035398
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306\trades.csv,False,2023-12-14,2026-06-10,600,0.48964706481724507,0.18221107029623163,0.08279547536985137,-0.05466753283636494,2.2007370509352837,4332801.010107919,0.7081813971367669,4332801.010107919,1.6861461836589688,0.7081813971367669,1170800.0,245868.0,68,266,68,198,"{'REJECTED': 198, 'FILLED': 68}","{'insufficient_cash_or_lot': 197, 'limit_down': 1}",0,5,0.0558706651655495,5,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,baseline_r1_domestic_ewma,split_515080_563020,"['CN_ETF:515080.SH', 'CN_ETF:563020.SH']",2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_ewma\split_515080_563020\baseline_r1_domestic_ewma_split_515080_563020_oos_20260624_213022_439306
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392\trades.csv,False,2023-12-14,2026-06-10,600,0.5121285400457809,0.18967204976443375,0.07197307839234308,-0.03918417555459297,2.6353193999912636,5052946.739618572,0.8167822223089892,5052946.739618572,1.944719576926165,0.8167822223089892,1211100.0,254331.0,54,141,54,87,"{'REJECTED': 87, 'FILLED': 54}","{'insufficient_cash_or_lot': 86, 'limit_down': 1}",1,3,0.05861419940615204,3,configs\baseline_r1_domestic_low_vol_ewma.yaml,baseline_r1_domestic_low_vol_ewma,baseline_r1_domestic_low_vol_ewma,single_515080,['CN_ETF:515080.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_515080\baseline_r1_domestic_low_vol_ewma_single_515080_oos_20260624_213022_852392
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656\trades.csv,False,2023-12-14,2026-06-10,600,0.4851783578148141,0.18072026455327683,0.07016351883180909,-0.034913677180526625,2.575701269864848,4645646.140778419,0.7564179634876579,4645646.140778419,1.8009951511610902,0.7564179634876579,1248100.0,262101.0,52,197,52,145,"{'REJECTED': 145, 'FILLED': 52}","{'insufficient_cash_or_lot': 144, 'limit_down': 1}",0,3,0.05746655291379387,3,configs\baseline_r1_domestic_low_vol_ewma.yaml,baseline_r1_domestic_low_vol_ewma,baseline_r1_domestic_low_vol_ewma,single_563020,['CN_ETF:563020.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\single_563020\baseline_r1_domestic_low_vol_ewma_single_563020_oos_20260624_213023_156656
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798\trades.csv,False,2023-12-14,2026-06-10,600,0.42834270282282305,0.16152782112943598,0.07533302813956322,-0.03718600783485149,2.144183303373745,4370299.543916107,0.7267542329166422,4370299.543916107,1.7303672212301004,0.7267542329166422,1309800.0,275058.0,62,176,62,114,"{'REJECTED': 114, 'FILLED': 62}","{'insufficient_cash_or_lot': 113, 'limit_down': 1}",0,4,0.05570962294547397,4,configs\baseline_r1_domestic_low_vol_ewma.yaml,baseline_r1_domestic_low_vol_ewma,baseline_r1_domestic_low_vol_ewma,split_515080_563020,"['CN_ETF:515080.SH', 'CN_ETF:563020.SH']",2019-02-28,2023-12-14,2026-06-10,['risk_parity_ewma'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_low_vol_ewma\split_515080_563020\baseline_r1_domestic_low_vol_ewma_split_515080_563020_oos_20260624_213023_483798
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074\trades.csv,False,2023-12-14,2026-06-10,600,0.49836541482769836,0.18511215064276243,0.06981405973589731,-0.052114320015118065,2.6515024529877125,2634413.4022943093,0.43132686537117576,2634413.4022943093,1.026968727074228,0.43132686537117576,517800.0,108738.0,30,54,30,24,"{'FILLED': 30, 'REJECTED': 24}",{'insufficient_cash_or_lot': 24},0,4,0.059057107421582,4,configs\baseline_r1_domestic_rolling.yaml,baseline_r1_domestic_rolling,baseline_r1_domestic_rolling,single_515080,['CN_ETF:515080.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_515080\baseline_r1_domestic_rolling_single_515080_oos_20260624_213023_862074
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700\trades.csv,False,2023-12-14,2026-06-10,600,0.49483597780964095,0.18393889305352373,0.07027708749472582,-0.04949493874767108,2.61733802026625,2647180.3420635783,0.4326606509097291,2647180.3420635783,1.0301444069279264,0.4326606509097291,615400.0,129234.0,35,38,35,3,"{'FILLED': 35, 'REJECTED': 3}",{'insufficient_cash_or_lot': 3},0,4,0.058405573463247165,4,configs\baseline_r1_domestic_rolling.yaml,baseline_r1_domestic_rolling,baseline_r1_domestic_rolling,single_563020,['CN_ETF:563020.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\single_563020\baseline_r1_domestic_rolling_single_563020_oos_20260624_213024_181700
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305\trades.csv,False,2023-12-14,2026-06-10,600,0.46087449154760507,0.1725663330341165,0.07069429432759337,-0.04905610892237011,2.441022075055362,2628403.1209246614,0.43513462279792986,2628403.1209246614,1.0360348161855473,0.43513462279792986,655100.0,137571.0,41,99,41,58,"{'REJECTED': 58, 'FILLED': 41}",{'insufficient_cash_or_lot': 58},0,5,0.05856738772844725,5,configs\baseline_r1_domestic_rolling.yaml,baseline_r1_domestic_rolling,baseline_r1_domestic_rolling,split_515080_563020,"['CN_ETF:515080.SH', 'CN_ETF:563020.SH']",2019-02-28,2023-12-14,2026-06-10,['risk_parity'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r1_domestic_rolling\split_515080_563020\baseline_r1_domestic_rolling_split_515080_563020_oos_20260624_213024_502305
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475\trades.csv,False,2023-12-14,2026-06-10,600,0.4386461542395128,0.16503956788066176,0.07003738097933739,-0.048834208546398195,2.3564497354541594,6170796.1903522825,1.0380626198555951,6170796.1903522825,2.4715776663228453,1.0380626198555951,1694500.0,355845.0,153,331,153,178,"{'REJECTED': 178, 'FILLED': 153}",{'insufficient_cash_or_lot': 178},1,4,0.05718977152232759,4,configs\baseline_r2_global_dividend_ewma.yaml,baseline_r2_global_dividend_ewma,baseline_r2_global_dividend_ewma,single_515080,['CN_ETF:515080.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_lw_cov'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_515080\baseline_r2_global_dividend_ewma_single_515080_oos_20260624_213024_858475
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919\trades.csv,False,2023-12-14,2026-06-10,600,0.47250928937483394,0.1764795382024582,0.06997973399591645,-0.0466523998350965,2.5218663765249003,5690281.054877106,0.9385694355306831,5690281.054877106,2.234689132215912,0.9385694355306831,1804100.0,378861.0,137,278,137,141,"{'REJECTED': 141, 'FILLED': 137}","{'insufficient_cash_or_lot': 140, 'limit_up': 1}",0,4,0.05735375904267623,4,configs\baseline_r2_global_dividend_ewma.yaml,baseline_r2_global_dividend_ewma,baseline_r2_global_dividend_ewma,single_563020,['CN_ETF:563020.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_lw_cov'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\single_563020\baseline_r2_global_dividend_ewma_single_563020_oos_20260624_213027_159919
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513\trades.csv,False,2023-12-14,2026-06-10,600,0.41757814973055885,0.157843186693297,0.07092508278393989,-0.045290085407209024,2.2254917512629064,5973912.714644834,1.0087198358688019,5973912.714644834,2.401713894925719,1.0087198358688019,2126100.0,446481.0,168,351,168,183,"{'REJECTED': 183, 'FILLED': 168}",{'insufficient_cash_or_lot': 183},1,5,0.055878125930863526,5,configs\baseline_r2_global_dividend_ewma.yaml,baseline_r2_global_dividend_ewma,baseline_r2_global_dividend_ewma,split_515080_563020,"['CN_ETF:515080.SH', 'CN_ETF:563020.SH']",2019-02-28,2023-12-14,2026-06-10,['risk_parity_lw_cov'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_dividend_ewma\split_515080_563020\baseline_r2_global_dividend_ewma_split_515080_563020_oos_20260624_213029_299513
results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050\nav.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050\positions.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050\orders.csv,results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050\trades.csv,False,2023-12-14,2026-06-10,600,0.4969905662851335,0.18465531344132713,0.0724051991380759,-0.05261171102138518,2.5503046140262873,6121668.023243461,1.007973467958676,6121668.023243461,2.399936828473038,1.007973467958676,1638600.0,344106.0,167,343,167,176,"{'REJECTED': 176, 'FILLED': 167}","{'insufficient_cash_or_lot': 175, 'limit_down': 1}",1,5,0.056280771020328246,5,configs\baseline_r2_global_ewma.yaml,baseline_r2_global_ewma,baseline_r2_global_ewma,single_515080,['CN_ETF:515080.SH'],2019-02-28,2023-12-14,2026-06-10,['risk_parity_lw_cov'],results\backtests\dividend_sleeve_oos_matrix\20260624_213021\baseline_r2_global_ewma\single_515080\baseline_r2_global_ewma_single_515080_oos_20260624_213031_571050
