variant,entry_start,n,total_return_ratio_mean_pct,total_return_ratio_median_pct,annualized_return_ratio_mean_pct,annualized_return_ratio_median_pct,annualized_volatility_ratio_mean_pct,annualized_volatility_ratio_median_pct,max_drawdown_abs_ratio_mean_pct,max_drawdown_abs_ratio_median_pct,sharpe_ratio_ratio_mean_pct,sharpe_ratio_ratio_median_pct,turnover_amount_ratio_ratio_mean_pct,turnover_amount_ratio_ratio_median_pct,annualized_turnover_amount_ratio_mean_pct,annualized_turnover_amount_ratio_median_pct,trade_count_ratio_mean_pct,trade_count_ratio_median_pct,order_count_ratio_mean_pct,order_count_ratio_median_pct,rejected_order_count_ratio_mean_pct,rejected_order_count_ratio_median_pct,skipped_order_count_ratio_mean_pct,skipped_order_count_ratio_median_pct,skipped_below_lot_or_cash_count_ratio_mean_pct,skipped_below_lot_or_cash_count_ratio_median_pct,max_pending_intent_count_ratio_mean_pct,max_pending_intent_count_ratio_median_pct,average_cash_weight_ratio_mean_pct,average_cash_weight_ratio_median_pct
single_515080,2023-12-14,17,98.04435684538554,97.31608826439798,98.24961959970659,97.59905673783017,101.60315406308429,101.09525356574507,105.22125496460173,107.74940917475845,96.67992130555334,97.37068856625727,105.99323504537452,105.0432068228051,105.99323504537453,105.0432068228051,102.27233012556688,100.0,102.48396202072259,101.17647058823529,100.0,100.0,100.91545709192769,100.0,100.91545709192769,100.0,100.0,100.0,101.21533073456247,101.34124938426314
single_515080,2024-02-14,17,96.23167293724428,96.03837997284067,96.54638129332707,96.33006985877634,101.65887941852283,100.27703807811423,107.93115144628808,106.55991769884399,94.98094385294253,95.16235858216523,102.9133272283227,102.95080705875104,102.91332722832271,102.95080705875104,97.53340479449665,100.0,97.75299723105454,100.0,100.0,100.0,94.35107376283847,100.0,94.35107376283847,100.0,100.0,100.0,100.77554049316183,100.88012480032609
single_515080,2024-04-14,17,95.91945688667116,96.96633024094726,96.22483948967908,97.2004003055875,101.22876961023438,101.41916680284697,107.5037621313077,107.91321409230798,95.06894031750744,95.03968496219673,102.20224495265171,103.28907805509533,102.20224495265171,103.28907805509533,95.88766230773709,92.85714285714286,96.21601767071844,92.98245614035088,85.71428571428571,100.0,94.88759606406664,100.0,94.88759606406664,100.0,100.0,100.0,101.28972699318578,101.40026988167452
single_515080,2024-06-14,17,98.44979988028604,98.58523755826629,98.55261306512195,98.68609201953976,102.65749105823025,102.97884191889794,107.75865339015493,106.69797207584169,95.99421492412789,96.1791165860455,104.52619593698034,103.81024473346436,104.52619593698034,103.81024473346436,102.12819500332841,102.56410256410255,102.34399198314836,102.49999999999999,100.0,100.0,108.49206349206348,100.0,108.49206349206348,100.0,100.0,100.0,103.28374277324804,103.4462917938485
single_515080,2024-08-14,17,98.40825635884417,98.16196747081605,98.4841546507379,98.26272944763387,101.77142199449698,101.60769998310538,108.04270457031654,109.6939595907551,96.78857078423341,97.96103234512618,103.87169444932259,102.98470851484028,103.87169444932258,102.98470851484028,96.92458469249453,97.91666666666666,97.16314598141119,97.95918367346938,83.33333333333333,100.0,115.58123249299719,100.0,115.58123249299719,100.0,100.0,100.0,101.30544943800017,100.06999731793258
single_515080,2024-10-14,17,95.10092042008786,94.6119463087441,95.27626807866221,94.82816031975383,102.32075164102235,102.16740490556285,106.41472520495896,106.84298292030338,93.1042736720819,92.90785064599852,104.41920761723998,104.5177875913729,104.41920761723998,104.51778759137291,103.87376073957638,102.56410256410255,104.23713637802751,103.44827586206897,100.0,100.0,135.94516594516594,100.0,135.94516594516594,100.0,100.0,100.0,100.85701499951368,100.16437712431316
single_515080,2024-12-14,17,96.58334788686179,96.90932565629862,96.65452878909487,96.97468320139212,102.99571194481784,102.61971362381577,107.22136912237363,107.38048349067317,93.85598875285906,94.1421769374977,103.24225568041194,103.65336056663301,103.24225568041194,103.65336056663301,95.43278953573358,94.11764705882352,95.79183503715895,94.11764705882352,100.0,100.0,79.16666666666667,87.5,79.16666666666667,87.5,100.0,100.0,101.24582689280062,100.56398928779335
single_515080,2025-02-14,17,97.01452727398335,97.31112143079027,97.05346310783264,97.3558316212305,103.41013976974783,102.6628468714452,109.15785047068309,108.2859056690211,93.84680456624878,93.67524974194642,102.7232112013341,103.58130989870955,102.7232112013341,103.58130989870955,99.4940305158807,102.32558139534885,99.74012991550228,103.48837209302326,100.0,100.0,116.66666666666669,100.0,116.66666666666669,100.0,100.0,100.0,98.76646296278403,99.90695826139894
single_515080,2025-04-14,17,99.4033915259591,98.58322358322495,99.40521058092452,98.59428194330876,102.96591894558836,102.50834294872979,108.83529282152847,108.32556583559094,96.51486693440485,95.10581692227156,99.09210949899546,101.62844530158168,99.09210949899546,101.62844530158168,87.48297751939012,88.46153846153845,88.1481828574853,92.3076923076923,100.0,100.0,75.47619047619048,66.66666666666666,75.47619047619048,66.66666666666666,100.0,100.0,99.35756865608501,99.19521779466753
single_515080,2025-06-14,17,100.28036210486665,100.13412484840647,100.28291797204805,100.13444284786077,103.06511471535278,103.34103766103584,108.2111886421474,108.94987795747848,97.32004398966534,96.7855710625836,103.37493459233997,101.87041109056143,103.37493459233995,101.87041109056145,96.69735698640363,100.0,97.18721711573245,100.0,100.0,100.0,121.42857142857143,100.0,121.42857142857143,100.0,100.0,100.0,100.04397592972164,100.42202621717973
single_515080,2025-08-14,17,102.50892586054975,101.90524580946767,102.5349561969129,101.92347362339798,104.28001643129939,103.97182360792347,106.80220814649134,107.87003279093975,98.37863483620475,98.81918440737998,107.98421578047704,105.44689793663488,107.98421578047704,105.44689793663487,106.65658742668732,103.44827586206897,106.37866177678937,103.44827586206897,100.0,100.0,75.0,100.0,75.0,100.0,100.0,100.0,99.56217443885471,99.6405331080195
single_515080,2025-10-14,17,139.50878297138016,125.92250627594306,139.8647646501028,126.13482723111149,106.02337837330793,106.55733028826529,111.21494493602111,111.80345579140246,131.93003423517516,117.00248637904087,105.7388792778961,106.51612026495502,105.7388792778961,106.51612026495505,110.47725150666328,103.57142857142858,111.30836807326202,103.57142857142858,100.0,100.0,97.39583333333333,100.0,97.39583333333333,100.0,100.0,100.0,100.99095425748555,100.76647610113388
single_515080,2025-12-14,17,267.23578561202487,103.73883418637053,266.01918313132995,103.80968142441391,106.70264479316388,106.30890281008996,112.89514842590042,113.12534387630167,248.9999993127171,96.3002443886354,108.31706867223288,110.13464813342237,108.31706867223288,110.13464813342237,110.17098647401144,100.0,107.88727650769928,100.0,44.44444444444444,0.0,68.0,40.0,68.0,40.0,100.0,100.0,99.68734508293231,99.75894773611806
single_515080,2026-02-14,17,98.79326755814827,101.4906524245679,98.82944582336498,101.53593263514121,111.42094863441116,111.3674499718852,113.04569722492228,111.22786698702069,88.72803826115444,92.32495881361474,98.80463248263219,99.91046020339223,98.80463248263219,99.91046020339223,99.57983193277312,100.0,99.57983193277312,100.0,,,,,,,100.0,100.0,100.48495422937864,99.94195958634873
single_515080,2026-04-14,17,110.77526884629536,109.5475488267508,110.32345368006034,109.15402213817171,123.541267757879,124.43593872221913,110.82530528395833,110.84954459255523,89.53139007549032,88.38808375688025,99.33034212859033,99.94948852439556,99.33034212859033,99.94948852439556,97.73576097105509,100.0,97.73576097105509,100.0,,,,,,,100.0,100.0,100.08291772171845,99.990985641404
single_563020,2023-12-14,17,96.77437384608166,96.49521353938367,97.12382872713066,96.9031582404027,99.9185548803256,99.52251144862646,102.59378310449333,102.33368497670669,97.1921460032282,96.27553508664968,101.13340118251685,102.21759166043832,101.13340118251683,102.21759166043832,101.5013437441692,103.63636363636364,101.53990601869776,103.57142857142858,100.0,100.0,96.48968678380442,100.0,96.48968678380442,100.0,100.0,100.0,100.96871503992278,102.4364593165876
single_563020,2024-02-14,17,94.32684490216378,94.34496801337365,94.80637181708765,94.83110784667038,99.27314408866746,99.24158623718728,104.49179411159378,103.91108655027763,95.50494397412676,95.55581630872379,98.27197999700992,98.9863507991291,98.27197999700992,98.9863507991291,98.05366753723008,97.91666666666666,98.05547021862944,97.91666666666666,100.0,100.0,133.61847303023774,120.0,133.61847303023774,120.0,100.0,100.0,100.86018578781913,100.70090137791779
single_563020,2024-04-14,17,94.13188825370874,95.41089635227131,94.56757260673221,95.80520041103765,99.5194668979699,99.32124410154375,104.30036860175468,105.34104824901102,95.02899985836167,95.32115978797974,100.45855729013901,100.78947870154057,100.45855729013901,100.78947870154057,101.28027564578689,103.19148936170212,101.26283830401333,103.19148936170212,100.0,100.0,111.14738202973498,120.0,111.14738202973498,120.0,100.0,100.0,101.1755932559756,99.73066614911616
single_563020,2024-06-14,17,94.11717128333014,94.66387316999045,94.51386251253929,95.01977236236843,98.98867481932578,99.21392736526639,105.34140838428642,105.08408367949748,95.48040856260683,95.5846919488772,99.72151053648912,99.02575480132546,99.7215105364891,99.02575480132545,100.30461229906166,100.0,100.26423758376437,100.0,100.0,100.0,131.0793650793651,100.0,131.0793650793651,100.0,100.0,100.0,101.02880063622077,101.83246625926866
single_563020,2024-08-14,17,94.68581588526888,94.9506421320942,94.95314111152003,95.19064527495927,99.57148632320425,99.50588810021259,104.89203536761559,104.95337070706871,95.36736963564351,95.21591323470338,101.21621823459975,100.66523240581964,101.21621823459975,100.66523240581964,101.29969052600882,100.0,101.3692856004244,100.0,83.33333333333333,100.0,160.5370936253289,111.11111111111111,160.5370936253289,111.11111111111111,100.0,100.0,100.3004644079482,99.89083317467849
single_563020,2024-10-14,17,93.71207444306246,94.28609514504696,93.942332168231,94.5172815199165,99.43640116602054,99.36738279356521,102.16294672615861,103.61865360873091,94.48203617928101,94.65432565597808,99.57334962930446,99.73632769261886,99.57334962930447,99.73632769261887,101.59356908656981,100.0,101.60957222709824,100.0,100.0,100.0,106.73881673881674,100.0,106.73881673881674,100.0,100.0,100.0,100.2370149195858,99.65458636122004
single_563020,2024-12-14,17,93.43731401554726,93.88563891093382,93.57049234184326,93.9949621347921,99.64798878552514,99.35835197923146,104.29041217802344,102.49728860229739,93.92932909289357,94.69155638441067,98.56133512881458,97.45496003760805,98.56133512881458,97.45496003760803,99.21212805595323,100.0,99.23440654267094,100.0,100.0,100.0,111.66666666666667,100.0,111.66666666666667,100.0,100.0,100.0,100.47611385424963,100.86610700550685
single_563020,2025-02-14,17,93.57070886085636,93.42200939550789,93.6558786144175,93.49427957228062,99.31490201558005,98.89768125448221,105.8639869197307,106.05336915986712,94.3389514799902,94.77595814512155,98.97774806302816,98.34518090405126,98.97774806302816,98.34518090405126,104.37913730577463,106.89655172413792,104.15907244273478,106.89655172413792,100.0,100.0,141.66666666666666,133.33333333333331,141.66666666666666,133.33333333333331,100.0,100.0,98.83290054726668,97.86656853183746
single_563020,2025-04-14,17,91.87020740255461,92.10574695106698,91.91290558870456,92.14342308726346,100.96169051747339,100.8571079711164,106.47126660529409,106.08001461616594,91.03392913639863,91.50434181948204,97.86671741866644,99.69784385460933,97.86671741866645,99.69784385460933,95.79174473869809,97.05882352941177,95.99675699864115,97.05882352941177,100.0,100.0,111.9047619047619,100.0,111.9047619047619,100.0,100.0,100.0,99.5144655343031,99.5390330040261
single_563020,2025-06-14,17,90.23089808213503,90.31229851389102,90.20939271363031,90.29253995966535,100.73007916823555,100.68144711167504,105.63715403103869,105.59255085652282,89.5672230394491,89.68140859111172,99.14059741270928,99.56832402849251,99.14059741270927,99.5683240284925,100.13902002644397,100.0,100.20139534878135,100.0,100.0,100.0,85.71428571428571,100.0,85.71428571428571,100.0,100.0,100.0,100.14895306066279,99.61875538987294
single_563020,2025-08-14,17,90.94632594143756,90.83664273839548,90.86966916864773,90.75835908366939,100.13188636763833,100.90838258464086,101.29530486929838,104.32952185673815,90.8129476298528,89.56156694683388,99.2645222371512,100.10417360493263,99.2645222371512,100.10417360493263,102.44199471279815,100.0,102.54819646951894,100.0,100.0,100.0,58.333333333333336,25.0,58.333333333333336,25.0,100.0,100.0,100.27609421920107,99.51617809484691
single_563020,2025-10-14,17,72.45550865557139,78.23682596467046,72.3509048546005,78.14659060835227,102.44932967996631,102.05409422776759,106.17996809681566,105.84190314985496,70.67846664731339,77.65573678438453,95.66341467721877,96.2691984839148,95.66341467721877,96.2691984839148,97.5492318139377,95.83333333333334,97.56496003035795,95.83333333333334,50.0,50.0,80.20833333333333,100.0,80.20833333333333,100.0,100.0,100.0,100.12955795435688,99.6856224095398
single_563020,2025-12-14,17,207.37827741887452,127.47472311146973,206.74016511691318,127.72486783453927,101.32163223196304,100.64713799470685,106.02871729211783,106.35856628155236,203.44171184590274,121.18554405390107,100.11110576310485,100.51610222667759,100.11110576310485,100.51610222667757,98.37067433747035,100.0,97.06356620083,95.0,66.66666666666667,100.0,72.0,100.0,72.0,100.0,100.0,100.0,100.03680272891097,99.65196779649467
single_563020,2026-02-14,17,109.27216171997455,89.77343934486784,108.89693476980776,89.63016218072806,103.61377846662378,103.85293398223097,110.38298262406329,109.9758316966116,104.93825508604777,87.02739120425143,99.93220874673236,100.08267227810855,99.93220874673236,100.08267227810855,100.73529411764706,100.0,100.73529411764706,100.0,,,,,,,100.0,100.0,99.95339899378276,99.89935743812939
single_563020,2026-04-14,17,115.05307164088491,113.8306682988571,114.37267806475346,113.16660995469188,110.23343296469181,110.79748862097615,109.15969359965537,109.23067847642349,103.75755607297991,103.18911747589891,99.0038313880328,99.78532558465345,99.0038313880328,99.78532558465345,97.20354808590102,100.0,97.20354808590102,100.0,,,,,,,100.0,100.0,100.0771116008867,100.0572832143451
